"Date","Marketing Count","Marketing Cost","Utility Count","Utility Cost","Authentication Count","Authentication Cost"
"Jan 1",0,0,0,0,0,0
"Jan 2",0,0,0,0,0,0
"Jan 3",0,0,0,0,0,0
"Jan 4",0,0,0,0,0,0
"Jan 5",0,0,0,0,0,0
"Jan 6",4,3.1384,4,0.46,0,0
"Jan 7",3,2.3538,4,0.46,0,0
"Jan 8",1,0.7846,0,0,0,0
"Jan 9",3,2.3538,0,0,0,0
"Jan 10",0,0,0,0,0,0
"Jan 11",0,0,0,0,0,0
"Jan 12",0,0,0,0,0,0
"Jan 13",0,0,0,0,0,0
"Jan 14",0,0,0,0,0,0
"Jan 15",0,0,0,0,0,0
"Jan 16",0,0,0,0,0,0
"Jan 17",0,0,0,0,0,0
"Jan 18",0,0,0,0,0,0
"Jan 19",0,0,0,0,0,0
"Jan 20",0,0,0,0,0,0
"Jan 21",2,1.5692,0,0,0,0
"Jan 22",0,0,1,0.115,0,0
"Jan 23",0,0,0,0,0,0
"Jan 24",6,4.7076,0,0,0,0
"Jan 25",0,0,0,0,0,0
"Jan 26",3,2.3538,0,0,0,0
"Jan 27",0,0,0,0,0,0
"Jan 28",3,2.3538,0,0,0,0
"Jan 29",4,3.1384,0,0,0,0
"Jan 30",1,0.7846,0,0,0,0
"Jan 31",3,2.3538,0,0,0,0
"Feb 1",0,0,0,0,0,0
"Feb 2",0,0,0,0,0,0
"Feb 3",5,3.923,0,0,0,0
"Feb 4",4,3.1384,0,0,0,0
"Feb 5",0,0,0,0,0,0
"Feb 6",0,0,0,0,0,0
"Feb 7",0,0,0,0,0,0
"Feb 8",0,0,0,0,0,0
"Feb 9",0,0,0,0,0,0
"Feb 10",0,0,0,0,0,0
"Feb 11",0,0,0,0,0,0
"Feb 12",0,0,0,0,0,0
"Feb 13",0,0,0,0,0,0
"Feb 14",0,0,0,0,0,0
"Feb 15",0,0,0,0,0,0
"Feb 16",0,0,0,0,0,0
"Feb 17",5,3.923,0,0,0,0
"Feb 18",0,0,0,0,0,0
"Feb 19",0,0,0,0,0,0
"Feb 20",3,2.3538,0,0,0,0
"Feb 21",0,0,0,0,0,0
"Feb 22",0,0,0,0,0,0
"Feb 23",0,0,0,0,0,0
"Feb 24",0,0,0,0,0,0
"Feb 25",10,7.846,0,0,0,0
"Feb 26",0,0,0,0,0,0
"Feb 27",8,6.2768,0,0,0,0
"Feb 28",1,0.7846,0,0,0,0
"Mar 1",0,0,0,0,0,0
"Mar 2",0,0,0,0,0,0
"Mar 3",2,1.5692,0,0,0,0
"Mar 4",0,0,0,0,0,0
"Mar 5",0,0,0,0,0,0
"Mar 6",0,0,0,0,0,0
"Mar 7",0,0,0,0,0,0
"Mar 8",0,0,0,0,0,0
"Mar 9",0,0,0,0,0,0
"Mar 10",0,0,0,0,0,0
