"Date","Marketing Count","Marketing Cost","Utility Count","Utility Cost","Authentication Count","Authentication Cost"
"Jan 1",0,0,0,0,0,0
"Jan 2",0,0,0,0,0,0
"Jan 3",0,0,0,0,0,0
"Jan 4",0,0,0,0,0,0
"Jan 5",0,0,0,0,0,0
"Jan 6",4,3.1384,4,0.46,0,0
"Jan 7",3,2.3538,4,0.46,0,0
"Jan 8",1,0.7846,0,0,0,0
"Jan 9",3,2.3538,0,0,0,0
"Jan 10",0,0,0,0,0,0
"Jan 11",0,0,0,0,0,0
"Jan 12",0,0,0,0,0,0
"Jan 13",0,0,0,0,0,0
"Jan 14",0,0,0,0,0,0
"Jan 15",0,0,0,0,0,0
"Jan 16",0,0,0,0,0,0
"Jan 17",0,0,0,0,0,0
"Jan 18",0,0,0,0,0,0
"Jan 19",0,0,0,0,0,0
"Jan 20",0,0,0,0,0,0
"Jan 21",2,1.5692,0,0,0,0
"Jan 22",0,0,1,0.115,0,0
"Jan 23",0,0,0,0,0,0
"Jan 24",0,0,0,0,0,0
"Jan 25",0,0,0,0,0,0
"Jan 26",3,2.3538,0,0,0,0
"Jan 27",0,0,0,0,0,0
